ID,Silvicultural_Treatment,Fraction_Piled,Fraction_Scattered,Burn_Type,Biomass_Collection,Pulp_Market
433,60_Thin_From_Below,0,100,Broadcast,All Tech Recoverable,No
435,60_Thin_From_Below,0,100,Broadcast,No,No
437,60_Thin_From_Below,0,100,None,All Tech Recoverable,No
439,60_Thin_From_Below,0,100,None,No,No
441,60_Thin_From_Below,30,70,Broadcast,All Tech Recoverable,No
443,60_Thin_From_Below,30,70,Broadcast,No,No
445,60_Thin_From_Below,30,70,Broadcast,Piles Only,No
447,60_Thin_From_Below,30,70,None,All Tech Recoverable,No
449,60_Thin_From_Below,30,70,None,No,No
451,60_Thin_From_Below,30,70,None,Piles Only,No
453,60_Thin_From_Below,30,70,Pile,No,No
455,60_Thin_From_Below,30,70,Pile and Broadcast,No,No
457,60_Thin_From_Below,50,50,Broadcast,All Tech Recoverable,No
459,60_Thin_From_Below,50,50,Broadcast,No,No
461,60_Thin_From_Below,50,50,Broadcast,Piles Only,No
463,60_Thin_From_Below,50,50,None,All Tech Recoverable,No
465,60_Thin_From_Below,50,50,None,No,No
467,60_Thin_From_Below,50,50,None,Piles Only,No
469,60_Thin_From_Below,50,50,Pile,No,No
471,60_Thin_From_Below,50,50,Pile and Broadcast,No,No
473,60_Thin_From_Below,70,30,Broadcast,All Tech Recoverable,No
475,60_Thin_From_Below,70,30,Broadcast,No,No
477,60_Thin_From_Below,70,30,Broadcast,Piles Only,No
479,60_Thin_From_Below,70,30,None,All Tech Recoverable,No
481,60_Thin_From_Below,70,30,None,No,No
483,60_Thin_From_Below,70,30,None,Piles Only,No
485,60_Thin_From_Below,70,30,Pile,No,No
541,80_Thin_From_Above,0,100,Broadcast,All Tech Recoverable,No
543,80_Thin_From_Above,0,100,Broadcast,No,No
545,80_Thin_From_Above,0,100,None,All Tech Recoverable,No
547,80_Thin_From_Above,0,100,None,No,No
549,80_Thin_From_Above,30,70,Broadcast,All Tech Recoverable,No
551,80_Thin_From_Above,30,70,Broadcast,No,No
553,80_Thin_From_Above,30,70,Broadcast,Piles Only,No
555,80_Thin_From_Above,30,70,None,All Tech Recoverable,No
557,80_Thin_From_Above,30,70,None,No,No
559,80_Thin_From_Above,30,70,None,Piles Only,No
561,80_Thin_From_Above,30,70,Pile,No,No
563,80_Thin_From_Above,30,70,Pile and Broadcast,No,No
565,80_Thin_From_Above,50,50,Broadcast,All Tech Recoverable,No
567,80_Thin_From_Above,50,50,Broadcast,No,No
569,80_Thin_From_Above,50,50,Broadcast,Piles Only,No
571,80_Thin_From_Above,50,50,None,All Tech Recoverable,No
573,80_Thin_From_Above,50,50,None,No,No
575,80_Thin_From_Above,50,50,None,Piles Only,No
577,80_Thin_From_Above,50,50,Pile,No,No
579,80_Thin_From_Above,50,50,Pile and Broadcast,No,No
581,80_Thin_From_Above,70,30,Broadcast,All Tech Recoverable,No
583,80_Thin_From_Above,70,30,Broadcast,No,No
585,80_Thin_From_Above,70,30,Broadcast,Piles Only,No
587,80_Thin_From_Above,70,30,None,All Tech Recoverable,No
589,80_Thin_From_Above,70,30,None,No,No
591,80_Thin_From_Above,70,30,None,Piles Only,No
593,80_Thin_From_Above,70,30,Pile,No,No
595,80_Thin_From_Below,0,100,Broadcast,All Tech Recoverable,No
597,80_Thin_From_Below,0,100,Broadcast,No,No
599,80_Thin_From_Below,0,100,None,All Tech Recoverable,No
601,80_Thin_From_Below,0,100,None,No,No
603,80_Thin_From_Below,30,70,Broadcast,All Tech Recoverable,No
605,80_Thin_From_Below,30,70,Broadcast,No,No
607,80_Thin_From_Below,30,70,Broadcast,Piles Only,No
609,80_Thin_From_Below,30,70,None,All Tech Recoverable,No
611,80_Thin_From_Below,30,70,None,No,No
613,80_Thin_From_Below,30,70,None,Piles Only,No
615,80_Thin_From_Below,30,70,Pile,No,No
617,80_Thin_From_Below,30,70,Pile and Broadcast,No,No
619,80_Thin_From_Below,50,50,Broadcast,All Tech Recoverable,No
621,80_Thin_From_Below,50,50,Broadcast,No,No
623,80_Thin_From_Below,50,50,Broadcast,Piles Only,No
625,80_Thin_From_Below,50,50,None,All Tech Recoverable,No
627,80_Thin_From_Below,50,50,None,No,No
629,80_Thin_From_Below,50,50,None,Piles Only,No
631,80_Thin_From_Below,50,50,Pile,No,No
633,80_Thin_From_Below,50,50,Pile and Broadcast,No,No
635,80_Thin_From_Below,70,30,Broadcast,All Tech Recoverable,No
637,80_Thin_From_Below,70,30,Broadcast,No,No
639,80_Thin_From_Below,70,30,Broadcast,Piles Only,No
641,80_Thin_From_Below,70,30,None,All Tech Recoverable,No
643,80_Thin_From_Below,70,30,None,No,No
645,80_Thin_From_Below,70,30,None,Piles Only,No
647,80_Thin_From_Below,70,30,Pile,No,No
649,Clearcut,0,100,Broadcast,All Tech Recoverable,No
651,Clearcut,0,100,Broadcast,No,No
653,Clearcut,0,100,None,All Tech Recoverable,No
655,Clearcut,0,100,None,No,No
657,Clearcut,30,70,Broadcast,All Tech Recoverable,No
659,Clearcut,30,70,Broadcast,No,No
661,Clearcut,30,70,Broadcast,Piles Only,No
663,Clearcut,30,70,None,All Tech Recoverable,No
665,Clearcut,30,70,None,No,No
667,Clearcut,30,70,None,Piles Only,No
669,Clearcut,30,70,Pile,No,No
671,Clearcut,30,70,Pile and Broadcast,No,No
673,Clearcut,50,50,Broadcast,All Tech Recoverable,No
675,Clearcut,50,50,Broadcast,No,No
677,Clearcut,50,50,Broadcast,Piles Only,No
679,Clearcut,50,50,None,All Tech Recoverable,No
681,Clearcut,50,50,None,No,No
683,Clearcut,50,50,None,Piles Only,No
685,Clearcut,50,50,Pile,No,No
687,Clearcut,50,50,Pile and Broadcast,No,No
689,Clearcut,70,30,Broadcast,All Tech Recoverable,No
691,Clearcut,70,30,Broadcast,No,No
693,Clearcut,70,30,Broadcast,Piles Only,No
695,Clearcut,70,30,None,All Tech Recoverable,No
697,Clearcut,70,30,None,No,No
699,Clearcut,70,30,None,Piles Only,No
701,Clearcut,70,30,Pile,No,No
